"period","A3538854K","A3538857T","A3538860F","A3538863L","A3538866V","A3538869A","A3538851C","A3538855L","A3538858V","A3538861J","A3538864R","A3538867W","A3538870K","A3538852F","A3538856R","A3538859W","A3538862K","A3538865T","A3538868X","A3538871L","A3538853J"
1985-09-01,5575,43076,105,19962,21576,1706,88949,5495,42798,111,20116,21416,1706,88601,5554,42840,112,20008,21314,1711,88437
1985-12-01,5796,43279,104,20237,21083,1714,89174,5853,43506,111,20122,20915,1634,88931,5787,43596,108,20181,21420,1637,89529
1986-03-01,5894,44798,98,20386,22072,1583,91623,5981,44390,100,20192,21999,1571,90886,5998,44261,105,20290,21670,1605,90631
1986-06-01,6275,44664,121,20139,21504,1541,90931,6207,44724,106,20464,21926,1633,91706,6185,44378,102,20075,21797,1625,90743
1986-09-01,6478,43829,93,19364,21621,1682,89526,6362,43565,99,19490,21458,1683,89124,6399,43943,100,19670,21597,1646,89816
1986-12-01,6633,43236,93,19297,21354,1705,88781,6712,43502,100,19187,21159,1626,88552,6722,43387,100,19385,21154,1648,88740
1987-03-01,6977,43526,99,19785,20933,1653,89471,7079,43097,100,19594,20884,1637,88746,7138,43207,102,19501,20787,1645,88651
1987-06-01,7616,43344,124,19617,20032,1575,88567,7545,43391,109,19953,20439,1672,89337,7443,43435,108,19970,20583,1662,89503
1987-09-01,7826,43978,108,20293,20739,1697,91019,7688,43771,114,20403,20570,1696,90601,7559,43644,113,20370,20621,1697,90389
1987-12-01,7251,43614,106,20897,21110,1812,91623,7335,43949,114,20768,20894,1732,91362,7592,43809,116,20586,20806,1741,91077
1988-03-01,7726,44050,118,20862,21046,1808,92149,7804,43584,120,20630,21019,1788,91312,7691,43902,118,20808,20931,1787,91664
1988-06-01,7948,44370,137,20787,20413,1733,91766,7882,44416,120,21173,20844,1839,92626,7898,44169,120,21313,20919,1819,92681
1988-09-01,8255,44657,112,22004,21091,1817,94542,8086,44478,118,22110,20903,1815,94092,8115,44639,121,22040,20910,1838,94168
1988-12-01,8079,44839,115,23041,21272,1921,96234,8195,45188,123,22924,21036,1837,95976,8154,45100,123,22665,21011,1835,95507
1989-03-01,8140,46076,123,23149,21260,1863,97383,8204,45533,125,22869,21250,1847,96408,8025,45504,122,23090,21307,1813,96628
1989-06-01,7756,45802,136,22860,21160,1651,96352,7704,45850,119,23310,21627,1749,97327,7900,46045,119,23407,21724,1785,97835
1989-09-01,8037,46812,107,23833,22508,1780,100083,7977,46663,113,23931,22282,1778,99647,8095,46538,117,23643,22085,1775,99027
1989-12-01,8644,46856,106,23667,22446,1871,100225,8678,47237,114,23580,22190,1788,99957,8579,47099,114,23771,22212,1788,100061
1990-03-01,9360,47638,117,23966,22058,1840,101258,9313,47054,117,23642,22063,1832,100149,9148,47419,108,23665,22125,1815,100424
1990-06-01,9463,47893,90,23146,21427,1702,99658,9441,47928,90,23629,21904,1793,100693,9677,47320,98,23415,21892,1820,100079
1990-09-01,10345,46694,95,22808,21959,1859,99446,10292,46590,95,22881,21733,1859,99027,10243,46807,93,23086,21606,1809,99239
1990-12-01,10813,45691,96,22788,21432,1849,98259,10843,46067,96,22738,21177,1761,98041,10753,46231,101,22714,21346,1810,98320
1991-03-01,11202,46517,117,22691,21205,1830,98760,11145,45944,117,22359,21225,1834,97687,11125,45686,114,22334,21222,1834,97414
1991-06-01,11145,45225,125,21513,20879,1821,95797,11108,45208,125,21965,21337,1908,96729,11288,45187,121,21848,21259,1880,96564
1991-09-01,11548,44385,111,21130,21536,1890,95570,11514,44293,111,21189,21321,1892,95172,11275,44575,114,21247,21426,1922,95485
1991-12-01,10975,43918,102,20815,21780,2074,94829,11008,44255,102,20784,21513,1969,94584,11065,44106,97,20893,21468,1938,94567
1992-03-01,10775,44436,73,21040,21615,1889,95137,10707,43913,73,20714,21637,1910,94128,10761,43830,79,20859,21381,1953,94038
1992-06-01,10546,43551,68,20741,20483,1864,92679,10519,43506,68,21193,20927,1939,93577,10522,43592,67,20865,21299,1920,93599
1992-09-01,10561,43554,61,20573,21647,1850,93693,10542,43480,61,20613,21453,1862,93311,10487,43478,63,20641,21331,1796,93138
1992-12-01,10604,43289,64,20158,21910,1652,93099,10598,43626,64,20111,21619,1559,92773,10716,43743,64,20217,21589,1613,93080
1993-03-01,11170,44511,67,20261,21647,1394,94092,11094,44032,67,20000,21663,1420,93188,11161,44090,65,19897,21825,1436,93324
1993-06-01,11887,44751,64,19443,21583,1312,93492,11892,44666,64,19850,22064,1357,94336,11667,44182,64,19998,21742,1337,93653
1993-09-01,11900,43779,60,20463,21429,1272,93852,11894,43709,60,20478,21253,1287,93465,12074,44062,62,20525,21343,1311,94031
